user_name,score,content
Azzahra Garda Welfaria,3,"bagus sih, lumayan banget buat orang yang pengen belajar bahasa, tapi banyak plus minus nya,, aku pengen nanya nih kenapa buat pengguna bahasa Indonesia gak bisa pakai bahasa lain, dan satu lagi ini tuh ngeleg banget game nya, aku gak tau ini dari game nya atau dari hp ku tapi pas mau masuk ke game nya ini loading nya lama banget kayak gak selesai selesai gitu Lo,, trs kan disini ada fitur cek suara ya aku coba padahal kalimat nya udah bener tapi malah gak di itung (di salahin)"
Siti Hanifah,2,gabisa caranya anu incatur nya
Windi rara03,4,saya tidak bisa main catur
Azis Ganteng,1,"NENEK GEMING, sekarang terang terangan dukung LGBT TAIIIIIII,DuoBowti NGEPOTTT"
Nadia Rahmadani,1,viturnya jadi jelek tiba tiba yang nyawanya pake hati malah ganti jdi kaya batre ga efisien sangat mengurangi minat belajar merasa di batasi lebih suka nyawanya pake hati cepat ganti lagi
Yaya Yaya,4,not bad
Saya Jovan,5,Bagus duolingo buat belajar bahasa lainnya tapi ada bug yang pas mau belajar tapi tiba tiba gabisa masuk ke belajarnya
Iyaz,5,"nice, worthy"
Razqa Andre,5,Dublingo
agus heriadi,3,"maaf ku kasih bintang 2 karna kok ada yg lesbong?! tolong nihh,tolong ya di benerin aku genti JD bintang 3 soalnya saya GK tega😔 tolong ya di benerin"
Annasya Lashira,5,bro this is soo good but is it ok I learn with other apps too but I still learn with duolingo
Muhammadyaafi Abrisamakhnaf,5,Min tambahin Bahasa Jawa dong :)
Rauf Almuqsith,5,brisi bat notif nya
Kkla Nsjs,1,bagian mic nya budek apa gimana udh bener ngomong husband malah salah salah terus bikin nilai jadi kurang walaupun cuma dikit 96/100 itu jadi jelek bukan nya jadi semangat belajar malah bikin badmood
Laura Febe W,4,"over all baguss banget. tapi tolong di bagian kursus bahasa jepang kanji nya tidak perlu di kunci (harus menyelesaikan hiragana dan katakana berurut). Sementara hiragana katakanya udah selesai waktu bahasa jepang (inggris) sebelum ada yg versi indonesia. Jadi ketika update dan pilih yang bahasa Indonesia terpaksa ngulang dri awal tapii yang level belajar bisa test skip level, Sementara Kanji nya gak bisa :("
Zygomyia,1,"jangan lupa batalin free trial unlimited guys, tanpa putus tanpa persetujuan apa"", tiba"" saldo m-banking kalian bakal kesedot dan bagi aku itu bukan nominal yang kecil"
Lutfi Karunia,4,"Tolong perbaiki fitur aplikasi ini setiap saya sudah melakukan 1 pelajaran, streak saya sering mati gara² bug diaplikasi ini tolong perbaiki pihak duolinggo"
Gandi Wibowo,2,Terlalu sering cerita LGBT tersembunyi.
Ridwan Muhammed,3,Tolong dong ikan judol nya apus
Faizurrahman,1,tolol gak ada b arab indo
Sri Suwarni,2,"TOLONG DONG DUOLINGO, KEMBALIKAN FITUR HATI YANG DULU. DULU SAYA SEMANGAT BELAJAR KARENA ADA FITUR HATINYA, KALO HATINYA HABIS BISA DAPAT HATI YANG BARU DENGAN BELAJAR LAGI, LEBIH MENGASAH. INI SEKARANG MALAH ADA FITUR BATERAI, IKLAN MULUUUU. JADI GA SEMANGAT BELAJARNYA"
Saya BvB,5,bagus sekali aku bisa belajar dengan ini dan aku dapat nilai 100 di B Inggris
Damauna Cakery,5,"seru banget soalnya afa kursus Inggris,jerman,arab, spanyol,sama mtk dan yg aku paling suka kursus catur soalnya aku sering tuh din tantang catur makasih duoalingo"
I Gede Chandra Wiguna,3,"kok Duolingo sekarang isi iklan judol ya, maaf jadi gak nyaman makenya, tolong dihapus aja, sebelum semua player gak nyaman"
Rima Dewi,4,bagus sih approve
STEFALINA HELI,5,sangat laur biasa bosan belajar bahasa gratis walau ada iklan karena belum berlangganan
Yanti Helvina,1,Duolingo ini sering menghanguskan xp saya tidak ingin ini terjadi lagi saya udah di liga terakhir sebenarnya tapi malah di turunkan dan saya setiap kali saya tidak main itu pasti jadi nol runtunan saya capek padahal runtunan saya sudah 246 tapi diturunkan jadi nol jadi saya terpaksa buat kerjakan 7 latihan saya pengen Duolingo di hapus dari dunia karena aplikasinya jelek dan tidak pantas buat pendidikan anak² saya kesal dan saya ingin ini tidak terjadi lagi koknya kalau terjadi saya hapus duo. ☹
rejakecap,1,"wajah duolingo klo belum dilanjutin ngeselin, lagi sedih liat muka marahnya makin bkin sedih + males liatinnya, ubah jadi sedih ajh deh biar sama"" sedih gausah marah"
Anyo Channel,4,download tapi isi nya aneh aneh plus bug tolong benerin
yayah y2h,1,akusuka dolingo😙😙😙😙😙😙
Muhammad Milhan,5,因为 Duolingo，我可以说外星语言
elen arsinta,5,"ya aplikasi ini sangat membantu saya untuk belajar bahasa inggris, semaunya sudah bagus apalagi dari cara belajar itu benar benar membuat kita paham dengan cepat karna aplikasi ini di buat seperti game. tapi yang membuat aplikasi ini kurang sempurna adalah bug nya, karna kadang ngebug dan keluar sendiri dari aplikasi tolong di benari ya dan untuk iklan tolong jangan terlalu banyak ya karna setiap habis belajar pasti langsung iklan 😉🤗🤗"
Sofiaya tunnisa,5,seru balajar di duolingo
anonymous,1,"knp harus ada energinya..? jujur lebih nyaman dulu.. meskipun bisa beli pake diamond ttp aja abisnya cepet bgt cuma buat jawab beberapa soal, recharge nya jg lama.. pdhl udah pgn banget belajar di duolingo dan lama-lama in belajar disini, kalo gini mah rasanya kaya dipersulit gt:)"
Khairul Rahmat,5,min opsi catur kok gak ada
Saefudin Abdillah,1,lamanya
Yanto Riski,1,tidak ada pelajaran catur
Nhanyy Bella07,4,"sekarang saya kurangin satu bintang nya yaa, soalnya saya rasa duolingo nih bagus banget, but.. kalo ada mode offline nya gitu, saya bisa belajar bahasa dimana aja selain itu saya kerja di tambang di hutan jauh dari internet, jadi mohon bantuannya kalo bisa buat beberapa bab offline buat orang yang susah internet kayak saya, sekian ini aja saran and kritikan saya."
Vinta Puteri,4,game ini bisa belajar dengan bahasa yang kita mau masilah pake wifi tapi gak ada iklan 😁
Indira Adellia,5,dari duolingo aku bisa belajar banyak bahasa misalnya bahasa inggris dan lain' nya
bumi putra,2,Mayan Lah Tp Aku Kasih 2 Bintang Yah Soalnya Kadang-Kadang Error Kaya Gk Ada Suara Jadi Suka Kesel Tp Kata Aku Mh Gitu Aja Tp Kalian Klo Yg Kesabarannya Setipis Tisu Jangan Download Yah Eh Sama Kadang-Kadang Aku Pecet Jawaban Yg Bener Malah Ke Jawaban Yg Salah Trs Jawabannya Bener Malah Salah Jadi Aku Hapus Deh Karna Aku Males Dan Aku Tuh Moodnya Klo Kesel Pasti Main Hp Jadi Aku Hps Aja Yg Kata Aku Gk Seru Aja Jangan Download Yah Saran Dari Aku Mh Yg Moodnya Kaya Aku Suka Ngampang Kesel.
Alicia Khansa Rafani,4,"Seru banget belajar nya,, tapi aku mau Avatar nya di bagusin lagi yaa sama pertanyaan lebih gampang dikit"
dewi setyorini,5,"aplikasi nya bagus kok, tapi emang harus pake profile? saya buat nya ribett, tapi tetep saya beri bintang 5, semangat dong yang buat aplikasi nya saya dukung dan saya kasih uang sebanyak 500000, juta ya,😊😊😊 tapi buat aplikasi nya yang banyak ya, saya mau kasih lagi alo cukup yee,, kalo makin banyak aplikasi nya saya kasih uang sebesar 700000JT ya, 😽😽❤️"
Wahdaniyah Shaqueena,1,"apk nya apa² Bayar,kebelet haji apa."
Muhammad daniyyal Yahya,5,"Baik bahkan sangat baik, mereka mengajarkan aku untuk bisa berbahasa luar negeri dan pengajaran nya juga seru mereka menggunakan permainan di dalam aplikasi nya jadi kita tidak pernah merasa bosan terima kasih"
Florence Febrian Utama,3,aku males main itu
Z.OnyxCrow,4,"Hey Duo, it's me, your student! I love u sm. Because of you I can speak a little English, French, and Dutch now 💚 But Duo I need help. The rank system feels unfair rn. Super users have unlimited energy while free users have to grind so hard. We lose motivation because we compete with people who have better features. Can you pls separate Super and Free users in leagues? We just wanna learn. Help us make it fair 🙏"
malaikat malam,1,"ku kasih rating bagus,karena tidak menyediakan tutorial bahasa arab, padahal yg kemarin ada,ini sangat bagus banget...."
Laila Saadah,5,berkat duolingo aku dapat hp:3
Rianah Nanah,5,keren buat saya untuk pembelajaran
Andreak,5,"ini seru banget! belajar tapi main game, jadi aku bisa belajar sambil main deh pokoknya seru banget aku bakal main tiap hari deh, janji"
hafiz ikhsan,5,bagus b. Inggris ku langsung lancar
Navaro Jimy Calistha,1,iklan penurun iq
Harvi Valentino,5,"Aplikasi nya bagus, tolong tambahkan kolom vocabulary yang sudah dipelajari. agar lebih mudah mengakses pelajaran yang sudah lewat."
Jaroy Jaroy,4,bgus
Ari Wibowo,5,"aplikasi ini sangat bagus, ohh iya ini bisa pake suara sendiri ga, kayak, kalo dia bilang terus aku juga ikut tan gitu bisa ga soalnya aku baru download Duolingo"
Siti Salma,4,aplikasi ini sangat bagus cocok untuk belajar bahasa inggris dan bahasa lain
Herty,3,lama sekali isi energi jadi cuma bisa 1x belajar
Nidan Maulana,5,bagus banget banyak bahasa negara lain dan masih banyak lagi dan kalau kalian gak bisa bahasa negeri lain coba ini
Ahmad Haikal,5,aku mau jadi bisa bahasa inggris
Hanif,5,kenapa kok tidak ada MTK sih
Trisa Septa hazelia,5,saya sangat suka banget
Victor Siahaya,5,"I think this application ""Duolingo"" so nice....because before me not install ""duolingo"", so i don't know speak english, and now i can do it because this application always help me if i don't know something. Btw i from indonesia, i cant speak english cause ""Doulingo"". always stay for me ""duolingo"". I'm so very thank you for ""Duolingo"". Always update ""duolingo""😊"
Atik Muhartini,5,ini bagus banget buat anak anak
Johannes Widhianto,1,setiap kali rusak ini aku malahan sering banget tambah lama tambah susah setiap kali nulis pasti bilangnya salah salah padahal saya sudah aplikasi ini sering banget buat saya kesel jadi ini hanya untuk para profesional saja tidak boleh untuk anak kecil yang bego
노피opie,3,"today while I was learning and got triple points, there was no triple points given, and then it happens many times when I got another triple points and double points. Is it so dissapointing because you are not fair and honest"
Indah Chusnul,5,game ini bagus sekali bahasanyacatur nya dan yang lain2 akusekarang udah bisa bahasa inggris
Rahma,5,"Aplikasinya sangat membantu saya untuk belajar bahasa, ga ngebosenin pula"
April Zewn 153,5,"best for beginners like me, semoga makin banyak yang pake cause this app really bestt"
RIZKY MAULANA,2,"apalah sistem nya ga jelas, di suruh bilang kata bhs inggris pake suara malah salah padahal aku dah bener jawab nya, budekk kek nya ni Duolingo"
haniaa,5,APASIH KATANYA BISA CANCEL TRIAL PAS AKH NYOBA CANCEL GABISA BGST
Restu Nur alif,1,"setelah update, hati berubah menjadi baterai. dan baterai itu cepat habis dan lama mengisinya, tidak seperti hati yang hanya habis jika jawab salah. saya kurang suka update ini. banyak bug yang ada di aplikasi ini, seperti baterai yang stuck dan masih banyak lagi. sayang sekali jika aplikasi sebagus ini menjadi seperti ini."
Dina Olifia,5,awesome
Nur Laela,5,"aku sukaa bungaaett, soal nya emng bener ada hasil nyaa di akuu, jdii bisa belajar dikit dikit bahasa korea, jepang, englishh tanpa buku bukuuu aneh yang mhall, intinya lovee bngett"
andi farizh,5,game WORTH IT bagus buat otak bekerja
Adriazka Hidayat,3,"Bagian voice untuk bahasa Jepang selalu patah patah. Jadi huruf pertama ga kesebut dan langsung ke huruf kedua. Jadi sulit untuk mengetahui apa yang ditanyakan. Mungkin hanya di bahasa Jepang saja, di bahasa Inggris tidak begitu soalnya. Tolong betulkan!!"
Salim abdul Abdul,5,menambah ilmu
Muhammad Rizki Rosidin,4,Permainan sambil belajar yang cukup menyenangkan. Saya harap kedepannya ditambahkan hal baru.
kalifta farm,5,gugu Gaga 😍 aku jadi pinter
Natasha Afiqa Syahmi,1,INI APLIKASINYA JELEKKKK DAN BURIKKK
Yasmintul 14,5,"bagus, seru"
Tubagus Danish,4,"Honestly I really love this app, but now I feel a bit disappointed with Duo cause I think it turns P2W app 🥀"
Khozinatulasror Habibullah,1,"iklan lu gagunaaaaaaaa, lu bikin gw telat ngumpulin tugas"
Donny Hendrick,5,game duolingo ini sangat bagus bisa mencapai impian bahasa lainnya jadi aku udah paham bahasannya
Yourgirl Pisces,1,hem apa jawaban mtk ku benerkok disalahin 😡😡😡😠😠😤😤😤 kyk badahal ditanyain brp kali brp yg hasil 4 aku jawab 1x4/4x1 tetep salah g efisien cuma diiklan bgs
Atthariz 06,5,bagus
Tan Raikku,5,"bagus banget tapi tolong ngajarin dari pengenalan huruf hurufnya dong, sama juga tolong tambahin belajar bahasa Arab juga ya, sekian. terimakasih sudah meluangkan waktunya untuk membaca ulasan saya."
Nisa,5,membuat kita jadi pintar bahasa inggris
Robby Firdaus,4,bagus🫪
AyahIbu 123,4,ini seru dan bisa belajar bahasaa bahasanya banyak banget lagih
Rya Kurnia Sipahutar,5,"aplikasi ini berguna bangetttt, apalagi aku yg nilai ujian Inggris nya yg semester 1 nilainya 72, eh pake ini nilai aku jadi makin naik jadi 85, blum lagi seterusnya aku pake terusss, suka dehhh"
kisti agustina,5,Sangat menyenangkan belajar dengan aplikasi ini💚
Nur Mualim,2,"His hearing is bad!!! Even though I spoke clearly, and even loudly, he still misunderstood. I only said it a few times, and he still got it wrong, so I gave it 2 stars."
Azka Dino,5,dulingo kalau li nya di hilangin jadi apa duongo😹😹😹
Brahma Ferdibrahmabekti,1,Aplikasi nya biasasaja !
Zepeto A I K Y,5,"bagus bgt apknya, nyesek dh kuliah baru nyoba,.. tpi jujur mahal bgt"
Ahmad Mansuri,5,aku suka banget soalnya bikin aku bisa berbahasa lain tapi aku pengen banget bahasa rusianya bisa dipelajari dari bahasa Indonesia karena aku pengen banget belajar bahasa Rusia tapi harus bahasa pakai bahasa Inggris jadi harus ngerti bahasa Inggris dulu aku pengen banget ada updatenya bahasa Rusia bisa dipelajari di bahasa Indonesia aku pengen banget ada update begitu semoga update berikutnya ada update bahasa Rusia bisa dipelajari dalam bahasa Indonesia
Riskalancar Lancar,5,Good
mama mimi,3,lah kok gabisa masuk nya padalan aku udah keamanan jadinya aku kasih bintang 3 tolong dong diperbaiki🙏
Satria Ramadhan,5,"tolong Duolingo kalau bisa tambahkan ""paket pelajar"" untuk upgrade ke super, soalnya Rp. 40.000 itu agak kemahalan untuk pelajar seperti saya🙏🙏"
Faxir 68,3,bintang karena kurang bahasa arab sama matematika nya kurang materi kalok udah diperbarui ku kasih bintang
oddo atilues,5,"aplikasi duolingo ini membantu banget buat kita¹ yang mau belajar bahasa,di duolingo juga kita belajar sambil main, jadi belajar di duolingo ga bikin bosen."
Ciasin 25,5,"bagus sekali, pas buka aplikasi tuh keren banget dan kayak main game tapi lagi belajar seru dan cobain sekarang juga!!!"
Nhp Pku,5,bisa membantu belajar
Kezia Daulay,5,aku suka aku suka
NaBil S.F.A,5,aplikasi ini bagus sekali dan di sini bisa belajar bahasa dan catur dan Tidak membosankan ini aplikasi terkeren yang pernah aku dowload. jangan lupa download ya ini bagus banget dan ini juga bisa bikin kita pintar dan tidak bodoh
Titin Sumarni,4,teh tolong apaan???
Rinol Wa,5,sangat bagus untuk anak kecil yang telah bisa bahasa Inggris dan lain nya
Dina Amalia,1,unprofessional
Eni Isnaeni,5,seru banget!! bikin aku pintarr
bolo kresno,2,aku ingin belajar catur tapi tidak diberitahu harus tekan apa biar bisa kursus catur
17.Komang Agus Triadi,1,dulu si baguss gak qda energi² ginii tapii sekrangg isi gunanyaa apa ? itu mahh gak bisa terus main energi habis gak bisa main iklas pulakk bagus juga gak ada energi ama iklan
Talia Oppo,5,aku suka dulunya aku GK bisa BHS luar tapi semenjak ada duolingo aku jadi bisa
Ice Dfy,5,"belajar dipermudah karena duolingo memberikan kosakata, pemahaman, serta penjelasan yang simpel."
Endha Putri Ramadhani Hasibuan,5,"aplikasinya keren banget, Thankyou Mak Beti udh nyaranin dari aplikasi youtube nya🙏"
blandina bhoko,5,bagus bgt
AMBON,1,banyak cerita lgbt??? ini buat anak loh
Akhmad Taofik,5,cukup menarik menbuat anak suka belajar
Risky,3,aplikasinya bagus tapi saya masih tidak ngerti dengan sistem catur dan yng lainnya soalnya di tempat saya belum ada muncul caturnya dan lain lain cuma belajar bahasa itu doang yng muncul tolong di perbaiki lagi ya izinnn🤟🏻😎🤟🏻
Dhini Sitompul,2,"Hatinya malah diganti stamina, lebih banyak iklan, dan sekarang ini leaderboardnya malah ngebug anying"
Kenny Ken,5,seru.
Azky fikri,5,gimana sih musuhnya kalah Mulu Ama gw pas main catur
BeforRurs,4,aplikasi apa ini tidak bisa buat belanja online
nurshella ami,1,mengandung unsur LGBT
Tiara Diva,1,"duolingo ini jelek karena dia membikin saya jadi kesal,waktu itu saya lagi tidak main duolingo terus pas saya buka runtunannya sudah 0 padahal cuman 4 hari tapi duolingonya malah membikin runtunan saya jadi 0 padahal biasanya kalau mau bikin jadi 0 ada pilihan kerjakan 7 pelajaran atau pakai diamond yang dikumpulin susah payah padahal runtunan saya sudah 246 tapi diturunkan jadi 0 saya tidak mau ini terjadi lagi😒"
Yasih Triasni,1,kenapa di salah satu percakapan ada sesama wanita berbulan madu ????? apa maksudnya ????? mendukung hal menyimpang kah ?
13_ERICKA TRI ASTYANTI,5,"sudah bagus, tolong tambahkan kursus bahasa Arab untuk penutur Indonesia 🙏🙂"
Farhan Abdillah,5,gak ada update aku versi old
Devi Melani,3,"Why is this app so slow? Previously, I was studying smoothly without any problems, but now, just opening a single lesson can take up to ten minutes. Please fix this immediately."
Nun_azzahh,5,"Duolingo ngebantu banget , asalnya aku main duolingo main belajar di duolingo cuman buat b inggris trs aku ikut eskul catur di sekolah nah pas duolingo aku update sendiri ada catur donk , membantu banget trs aku di ajarin sampe aku udah lumayan proo jadi makasih udah buat apk ini love youu ♥️♥️"
Sukarti 12,5,bagus sih ini saya jadi bisa belajar bahasa Inggris tapi ada yang aneh pas aku pake tulisan premium malah salah kocak aneh padahal benar aneh banget sumpah tolong benerin ya orang aku bener eh malah di salahin sama sistem ya kocak bener
Alleya zevania Kiara,5,bagus buat lagi yang belajar bahasa asing
Syifa Humaira,2,asik iklan aja bah gak seru dan aplikasi nya selalu ngelag padahal internet aku gak ngelag dah aku buka apk lain lancar euh pas buka apk ini malah ngelag
Mmank,3,"bagus, tapi kalau bisa saya mau kursus investasi/trading"
Khansa Adelia,4,bagus sii suka
Ayunda Queensha,3,apaan bgt? gd bhs arab.
Salwa Zahra,5,"aplikasi ya sangat bagus, seru, dan mudah dipahami aku kasih ranting bintang 5"
Cocomelon Jarjit,3,bagus cuman ad glitch atau bug kh makanya karakternya kaya hilang2 gitu terus yang soal terjemahkan kata gak ada tulisan nya mohon diperbaiki padahal saya sudah mengupdate aplikasinya
wastukan bptu hpt denpasar,2,memang bagus tapi di duolingo aku sudah peringkat 1 tapi malah turun Liga 😭
Noric Firma,5,aplikasi nya bagus buat belajar bahasa juga tidak membosankan
YOHANES ADI,5,seru
Ester Wallenstein,1,bug banyak
Anita Anita,4,bagus
Adahsadiah Sadiah,5,bagus
Miko,5,good aplikasi
Chia Chiara,5,very nice
Aisha Ramadhani,5,bisa membuat meningkatkan berbicara dengan berbagai bahasa
Caesar,5,game ini sangat membantu untuk belajar bahasa Inggris atau lainnya
Irgy Irgy,4,Cocok untuk pemula
Adeeva Myesha,1,tidak profesional. duolingo brazil di twitter tidak profesional
lisna wati,4,"cihuy bagus bet ni apk bisa belajar bahasa catur,mtk bagus weh"
Muhammad Abdillah,1,Main catur lawan orang waktunya tambahin dong
Vira Rahayu,5,ini seru sih tapi tidak bisa di download jadi aku suka pinjem hp kkku untuk main ini
Laras octrishifa,5,"langsung bisaa, seruu lagii diajarin semuanyaa"
Diko Budi,5,sangat membantu belajar bahasa
Atika Lubis,5,aku suka👍
Martha,5,"yeah i like this , thank you l now a little understand and speak English but...I'm studying English"
nur fadhilah,4,wah bagus sekali aku menik matinya
Meli Pricilia,5,bagus banget kalian harus download si aplikasi duolingo nia karan bagus banget.
Rendy S,1,mengandung unsur lgbt
Denny Saragih,5,aplikasi nya enak dan aku mau belajar bahasa atau permainan dan permainan nya ada catur matematika dan musik
Mutiara Shofia,5,cara belajar yang seru dan menarik
Ratu Bilqis,5,aplikasi ini sangat cocok untuk yg ingin belajar bahasa luar
Yuna Ayunda,5,ini sangat seru game ini bisa membuat kita bermain sambil belajar dan aku bisa menguasai bahasa inggris ku dengan duolingo 😆
Hendi Wahyudi,4,so far so good 😎
Adila Nisa ARDANi,5,bagus banget bahasa Mandarin ku lancar
Ayuning Gangga,5,aplikasinya bagus bangett
vivie yinata,2,hmm pelajarannya itu di ulang ulang terus kurang suka.... maap yh
rantianatasya55,1,"woii woii demoo pliss, masaa xp nya dikit bangett minimal unlimited no bayar bayar lahh, gua mau balap rank nya si iky tapii xp gua malah abis, kan sialann banget, gua beli xp pake berlian tapi lama lama malah tambah mahal, pukii lah kau, cepatt naikinn duolingo biarr xp nya banyakkkkkkkkkkk"
Jhon Peter,1,curang dan ga adil pas main chess
Iky Iky,5,"demoooo demooooo,woi duolingo, minimal kasih expnya bnykin lah,minimal 10,00000 exp,biar seru belajar nya,lah ini pas selesai dapatnya dikit😡😡,lu niat GK sih bikin aplikasi,kalo GK mau kasih minimal kasih duolingo max free 1 tahun🤭,kalo GK gw rating 1 biar GK seru,atau minimal jadiin gw ceo kalo GK mau😏"
Reysha Afifah,5,i will be a smart.
Qiandra Abqariah,5,"aku suka banget sama aplikasi ini soalnya banyak pelajaran yang bisa kita pelajari terus ada pelajaran tambahan seperti matematika,musik, bahkan ada catur. kalo buat aku, aku paling suka sama catur jadi tolong ya admin dari duolingo ditambahin pelajaran tambahannya ya"
Sudirman usman,5,ini itu bagus bisa berbagi bahasa dan bukan cuma itu tapi duolingo juga bisa main caturr.
Deofkel3 Kel,5,makasih buat duolingo kini aku udh masuk universitas diluar negri diamerika berkat belajar bahasa inggris disini. thanks about this application i like this
mundzir anabas,5,Aplikasi Ini bagus untuk Anak Yg masih belajar Bahasa / mtk Tks
Faizah Turahmi,5,GOOOODDDD LUCKK
IHSAN MAULANA,5,good
ramadhan,1,"main catur curang, masak kalah berkurang 13 elo, kalau menang cuma 3-7 elo?? Niat main biar bisa nyampai 1000 elo, malah dikurangin mulu. Mana draw, juga dikurangin?? jelekk banget dari dulu caturnya, curang mulu programnya"
Ridho Aljazari,5,jadi jago bahasa inggris
Fadil Hanif Pranaja,5,Aplikasi nya bagus banget
Putri Anggraeni,5,Bagus Dan membantu banget tapi ada sedikit masalah aku tidak Sengaja ikut berlangganan di super Doulingo kemarin Dan dari kemarin sampai sekarang mau membatalkan langganan di berbagai aplikasi tapi tidak bisa takutnya nanti setelah masa gratis selesai aku akan di tagih tapi tetap aku kasih bintang lima karena sangat membantu tolong di bantu jawab ya
Luthfi Abqari,5,"admin duolingo-nya seru jir, apalagi sekarang udah ada catur"
Roronoa Ramdan,5,enak buat belajar bahasa
Melanie Putri,5,"aplikasi nya berjalan lancar! pelajaran yg udh dipelajari juga klo lagi lupa bisa diulangi :D. suka deh ama duolingo. iklannya juga menurutku jarang jarang, jadi ga terlalu ganggu. dan juga bisa saling follow ama temen secontact😆."
Putu Trisna,5,sangat bagus dan saya senang belajar di duolingo
Mery2013 Irana,5,Apalisi sangat bagus dan mudah
Muhamad Rivano,3,Aplikasinya bagus buat belajar bahasa tapi tolong pas bagian belajar suara tolong diperbaiki karena rada budeg
Triane F,1,"seriously duolingo? i've delete you, but your icon app with many expression, that angry and sad expression is STILL in my phone, i've already delete you but YOUR ICON ANIMATION is still there? are you serious? is this ""error""? what.is.this."
ikhbarassalam kurniadi,1,aplikasi tolol
Azka Maulana ahmad,4,tolong dong pas saya main catur catur nya gak ada kayak hilang aja gitu tolong dibenerin ya 😄
Jos Thuru28,3,"sangat membantu untuk improvisasi grammar dan pengucapan tapi pelaku atau orang dalam percakapan masih kurang jelas, contohnya dia( dia siapa? laki laki atau perempuan)"
Fira Can,5,ini app bagus bgt aku jadi bisa BHS inggris loh plis banget tapi aku ketagihan mainn ini
Ela Nurlela,4,"tapi kata orang² ini ada fitur caturnya ,tapi cara ngebuka fitur nya gimana"
budi raja,5,Duolingo sangat seru bisa diajak bermain dan bahkan di mulai nol ayo semua bermain duliongo itu seru belajar dan sambil main game 😆👍
Sinta Ray,5,seru bisa anak mangkin semangat belajar bahasa dan orang dewasa pun bisa
Kalila,3,"saya suka tapi tolong kurangin teks yang mengarah ke LGBT, tolong bangett saya kurang suka🙏🏻"
Fajar Syahputra 202,3,"aplikasi nyaa baguss, tapi tolong sayaa refound dana saya ketarik otomatis di akun dana saya sebesar 664.890,sepertinya saya tidak sengaja terpencet fitur berlangganan, saya sangat memohon kembalikan uang saya, saya sangat membutuhkannya untuk biaya pengobatan. mohon ditindak lanjuti untuk di refound terimakasih banyak ya🙏"
iqbal gunawan,5,jujur aplikasi ini bagus tapi sayang ada fitur berbayar padahal jika tidak ada fitur berbayar pasti ini akan menjadi aplikasi yang sangat bagus.saya sebenarnya nyaman dengan cara belajar disini tapi terganggu dengan fitur berbayar jadi saya hanya mau fitur berbayar ini dihilangkan terimakasih.
Nur Azizah,1,"aku mau mainnya kek shri brpakli tnpa membayar, tpi hanya di ksi 25 energi dan dlunya jga hanya 5/3 bintg g slah. itu pelit bnget gilak👉🏻😀"
rahma dona,5,seru
Moris Nazarputra,4,"bagusss polll😉,dan bikin kita cepet ngingatnya,taapii buatin biar bisa ngechat dongg.."
sarahana1234,5,bagus bgt..bisa bikin. gw rank 1 trs
Fandi Nafis,3,bagus bisa buat yg masih awal belajar tp terkadang tidak bisa di ulang kembali kalau sudah daftar contoh= aku sudah daftar kelas 4 tp mau daftar kelas 5 karena sudah naik kelas ya tidak bisa aku udah hapus donlod hapus donlod 3 kalii ini aku donlod ke 4 tp masih 91 wasalamualaikum warohmatulohi wabarokatu
