user_name,score,content
Ggjabb Vvajab,5,bagus
Boedhi Bejo,5,sangat membantu transaksi
Gilang Ramadhan,5,baguss
Ketut alina Okta,2,"fitur dana cicil tidak bisa pakai terus ,padahal trnsaksi sering ,makin parah makin buruk"
Azis Gaffar,2,"bagaimana aplikasi ini kok sulit upgrade ke dana premium,diperintah untuk memenuhi persyaratan hasilnya tetap mengecewakan"
"Ahmadi ,",5,aplikasinya sangat membantu sekali
Candra nur Alim,5,mantap
Rudi Triwahyudi,5,sangat membantu
Suandi Sampulawa,1,"Aplikasi tidak berpihak terhadap kenyamanan pengguna transaksi di lakukan dan dinyatakan sukses/berhasil namun di pihak penjual/merchant dana tidak masuk. saya lakukan komplen namun diberi waktu 18 hari untuk menunggu,akhirnya setelah waktunya,infonya bahwa pihak aplikasi menyatakan transaksi dianggap berhasil dan diminta konfirmasi ke pihak penjual karena pihak Dana tidak bisa mengembalikan Saldo. sudah di beri waktu lama namun kaya lepas tangan,dengan waktu lama begitu sangat disayangkan"
Awan Kurniawan Awan,4,tidak ada dana cicil nya
Jumaini Maini,5,Sagat berguna
herman syah,2,Baik
Maman Suherman,5,"Serba serbi seribu Berkah Ruah.ada di DANA.Maman Suherman Alamat.Jln, Pasir Eurih.Kamp.Cicariu Desa Langensari Kec.Parungkuda.Kab.Sukabumi Jawa Barat."
Wahyono Eko,1,"knp untuk eMAS harganya beda dgn eMas antam pasarannya?, saya cek harga di web resmi antam, per gramnya nyentuh 2,9 JT, tapi di eMAS dana cuma 2,5JT, mana sebelum itu udh naro dana di harga 2,7 JT?"
Cahyani Rizky,5,oke👍
Sumanta Manta,5,Sangat bagus & cepat
Rahma Dhani,5,Dicoba dulu
Sekar Maulida,4,oke
Sugino No,3,biar tau cara menggunakan dana
Leo Suhhh,5,mantap
Devi Dwi Saputri,1,"Kode QR gak bisa discan, jadi tidak bisa dipakai menerima uang dengan cara scan QR. saya coba bertanya pada Customer servis... lah AI yang jawab dan sangat gak nyambung, gak ada solusi, payah banget lah pokoknya"
Ananda Khucing,5,semenjak ada apk ini... sodara sodara & temen saya banyak yg sering pinjem duit!! tanpa ingat membayar!!
Ali Nadir,5,Sangat membantu
Vian Haloho,1,"tidak bisa Upgrade ke premium. hubungi customer service tidak ada gunanya, karena tidak ada solusi"
Evi Lansi,1,TDK bisa didownload
yudi agustian,4,iov h
raditia saputra,1,uang saya hilanggg
Akmam Ponyo,5,"sayang dana cicil nya kaga muncul """
Siti Karomah,5,proses tf dan yg lainnya cepet banget
Andreyan,4,"lebih kurang udh 7 thn pakai dana aman"" aja, semoga kedepannya selalu lancar dan aman"
Buk Tangkep,5,selalu menjadi yg tervaik
ayah atikah,2,loding trus
Skb Sjh,5,apk yg bagis sekali dan mudah di pahami
Niken sakhi hafizah,5,dana bagus aku suka tapi knapa kalau masuk suka kembali trus yah
Ikhwan Shodik78,5,sangat berguna
Muh Khadafi,5,sukses selalu.
Saidul,5,sangat bagus
Madrian Irwandy,5,Bisa membantu buat nabung
Gun Rose,5,sangat 👍👍
Muhtadin Billah,1,"wallet gajelas tiba"" aja saldo ngurang 83.000 padahal gak transaksi apa"""
Kmu Nanya,5,saya ingin meng udate aplikasi dana resmi saya dang saya ingin loginn
Samsung A04e,5,bagus
Surji Bae,1,kenapa punya saya ngga bisa d buat premium padahal uda lengkap semua
Ashifa Nabila,5,apk dana digital ini sangat membantu tapi tolong lebih di perbaiki dan sering di tinjau karna sistem ke amanan apk dana ini sangat rapu terhadap pembobol atau pencurian mohon di tindak lanjuti atau segera dibperbaiki untuk sistem ke amanan nya terimakasih
Tisna Maulana,2,belum Ada Dana cicil disaya. padahal sudah sering aktif Dana nya
Imas Mintarsih,1,"aplikasi tidak memuaskan, duit selalu secara otomatis isi data kuota meski cuma 10rb, gua sering mengalami hal ituu, gajelas banget, balikin duitt gua, udh brp tu gua itung itung, gua saranin jangan pake aplikasi inii, kaga jelasss!!!"
SHONI BHOCIL,5,bagus
Shikigami,2,aneh orang ga melalukan pembayaran tapi di potong jir kocak nih dana kasih noh keaman dana lu minimal pake verifikasi muka biar tau siapa yg bayar eh ini malah lnsung main di potong ga pake pin ama verifikasi muka kasih keaman lu gblog
Candra Setiadi,5,sangat bagus
Rojaya Zay,5,Baik bisa transfer lebih mudah dan cepat
CAK _ SANUN,5,ok
aven tador,5,"pelayanan terbaik, dan transaksi lebih mudah, mantapp DANA🤩🤩🤩"
Aris Trevel,5,sangat puas
ACS SLAMET SLAMET,5,Ok
Jhon Tebai,5,sangat puas
Kiki Ondoy,5,mantap
Lay Cellular,5,jelekk lahh
M.rasyid,5,👍
Melati,5,praktis tanpa ribet
Linus Samara,5,mantap sekali dana cicilan nya kak
Salwa Amalia,5,ok
Renzzz Sukagaloo,1,"ini kenapa dihp saya ngga gbisa login"" dah mohon dipercepat proses loginnya"
muh awal,5,apk yg sangat membantu
Bayu sampit,1,saya tidak dapet akses dana cicil
Esme Relda,1,"aplikasi sampah buat hubungi cs aja sulit sekali , bot nya juga tolol malah jawab dengan jawaban yang sama terus , giliran bayar dana cicil belom jatuh tempo udah di sedot , giliran mau pakai gabisa dengan tulisan dana cicil tidak tersedia tapi limit masih ada"
Andika Syahputra,5,sangat bagus
Asuii78 Ayangg78,3,bagus
Apdul Rahman,5,luar biasa sekali
Hengki 77,5,kreen
Redmi 9,5,DANA CICIL NGGAK MUNCUL
Alfa Puide,5,mohon aktifkan dana cicil
Doni Alfandi Harahap,5,bagus
carissa Candra salsabillah,4,kenapa dana cicil saya tiba2 tidak bisa digunakan bdahal saya selalu bayar tepat waktu ga prnah nunggak?
Mat Joker,5,mantap
Moh Saifudin,5,sangat memuaskan
Dafa Depo,5,keren
seroo setan,5,saya kecewa. saya tidak bisa memakai dana cicil . sedangkan limit dana cicil sudah keluar bayar pake qris gak bisa .buat bayar tagihan juga ngak bisa beli pulsa juga tidak bisa. (KECEWA)
Annisa Yulia,5,nice
Andre Riko,5,dana cicil
agilong agill,5,"sangat"" membantuh"
BANG TAMES,5,sangat baik
Riski Andi,5,saya senang
Enjel Njel12,5,sungguh bagus
muhammad romli,2,"saya sudah pelunasan dana instan tp pas mau penarikan kembali malah tidak bisa terus,gimana sih ,niat ga sih kasih pinjaman nya,bikin ga kompeten"
Rizqi Ananda,4,kenapa kode qr qris tidak bisa di unduh
Ronigus Santosa,5,puas banget
Yuda Baday,3,dana cicil saya blm bisa di gunakan sampai sekarang gimna ni admin bls
Ahmad Saputra,5,sangat memuaskan
Edoy Kurniawan,5,bagus
Novitasari,5,sangat bermanfaat
Tsanisyah09 Utti,2,Kenapa dana cicil saya tidak bisa di gunakan lagi ya?sedangkan saya sudah melunasi nya?
Ando juntak,5,nomor dana saya hilang..saya mau datfarin no baru boleh gak kak
Denis Juliana,4,saya kecewa dengan dana cicil saya tidak dapat di pakai ??
Olih Setiabudi,2,kenapa ya saya buka aplikasi dana mental keluar terus.
Jaka Jaka,5,transaksi di tolak dana cicil
Billy Gamawi,5,dana cicil gak muncul parah
Paulinus Mulyadi,5,keren
Rakhdian Permana,5,ok
febriadenata Teguh,3,ukuran aplikasi terlalu besar
Yayan Sanjaya,5,tolong munculkn pitur dana instan di aplikasi dana saya
Aldi Mading,5,mantap butul👍👍👍
salam neww,4,tolong aktif dana cicil saya kasih bintang 5
Mardi Gasruk,5,ok
Ntb MetTyz,5,mantep walau ga bisa fripikasii dana. cicil
A. Sova,1,"SANGAT BURUK.. FERIVIKASI RIBET.. PADAHAL UDAH PAKAI PASSWHOD DAN FERIVIKASI WAJAH.. EH MALAH MINTA FERIVIKASI wA atau SMS.. . MENDING PAKAI GOPAY GAK RIBET. SUNGGUH KECEWA SAMA APLIKASI INI.. SANGAT"" TOLOL"
Febry setio Adi,5,dana mantap
Muzafer Muzafer,5,sangat mantap
Sutan Harahap,5,mantap
Pengki Jore,5,"ko bisa ilang sih KA aplikasi nyh ilang tiba"""
SP collection,1,"Dana makin nggak jelas,saldo suka hilang atau berkurang sendiri,topup sekarang di batasi 450 bayar 1000,ngisi saldo sendiri bayar,ngirim sesama dana bayar,mulai besok gua delet dana,sy nggak bakal pakai jasanya LG.taik..."
Boyyt,5,bagus cuma dana cicil blum aktif pdhl trnsaksi saya tiap hari
Dayul feri Feri,5,Sagat bagus
Eko Prahmono,5,okeh
ahyasan ahyasan,3,baik
Trisno Samsung,5,oke
Maarif Arif,5,bagus good Joo
Deni Cinta azizah,1,apk tolol uang tiba tiba ilang jangan pernah download apk gak jelas .. sumpah udah dua kali ilang tanoa sebab semoga apk cepet bangrut babi..
simon siahaan,5,saya sudah lama pake dana tapi tidak ada dapat dana cicil
Ikdak Ikdak,5,luar biasa
Fandani Karbi,5,mantap
Ryan Afandi,5,Keren n sangat membantu
Bram Oisam,5,bagus banget
Man Man,5,baik
Peri Kurniawn,1,"aplikasi bosokk ra cetoo , duit ku di serotttt cokk matane ile"
Ahmad kharis Al farizi,1,"sering trouble, padahal keadaan lagi butuh-butuh nya"
Toddy Bae,5,bagus sangat berguna
yeyeyu yuu,5,baguss
eko nurcahyono,3,fitur ya kurang
Miftah Miftah,1,sering jamkot
Putra Sianggian,5,jlk kali
Riko iko,5,luar biasa
Ade Johan,5,"ka kenapa dana cicil saya di bekukan,,saya minta bantunya ka tolong di pulihkan kembali 🙏"
Ajid Ajid,5,sangat berguna untuk saya👍
Jumadi Jumadi,5,mantul
Hendra Hendra,4,sangat bagus
Sanol Jaro,5,bagus saya puas
Agus Salim,5,baik
Wawank Wawan,5,tdk ada dana cicil nya
Test 123,4,semunya bagus dan sangat mebantu
Muh Sandri,2,fitur dana cicil gak ada muncul
NK Production,1,hati hati apk ini sering eror ....terus banyak penipu
Syaparuddin Kulle,5,sangat baik
Jayens Tamasiro,1,"kesulitan untuk bertransaksi, selalu minta verifikasi, setelah sudah di verifikasi tidak bisah bertransaksi, kejadian selalu terjadi berulang kali, sangat membosankan"
Syahnita Candra,5,keren
Yuni arcan,5,senang
Yudi Ambon,5,sukses selalu min
Asep Sumarna,5,siip
Rahmad,5,oke
A ndra,5,aplikasi sangat bagus
pierre aubumeyang,5,mantap dana cicil belom keluar di akun saya
Dinah Hidayat,5,nice
Ahmad Cepi,5,bagus aplikasi nya sayaa suka dengan aplikasi ini
fah reza11,1,aplikasi tololll begooi idiottt mauu bayarr keluar keluar sendirii tololl benerin begoo
Davit setiawan Davit,5,sanagat bagus dan oky
Toe Ye,1,tidak bisa ganti akun dana
Sutarno Lurah,5,lebih enak dari brimo
Madan,5,ingin mengetahui
Ratna Wulansari,5,mantap
Sandai,5,MOSES DO SANTOS
Jep Rizal,1,dna gua kok kalo mau ngirim pakek qirs berterusan gambar kurang jelas
Teknik bng,5,sangat bagus no penipuan
Kemaludin Kemal,5,mudah tanpa kartu bank
Sitri Bolang,5,dana cicil
Suadi Sisuadi,5,sangat bagus
Benny Rahmat,5,"transfer/top up mudah tanpa biaya, apk nya bagus dan tdk ribet"
Vivi,5,maaf sebesar2 nya pemilik dana saya minta maaf
Irvan Arnis,5,"Pembayaran Lebih Mudah,dan Praktis... Good luck ya (DANA)👌"
Apa Nurul,2,sangat membantu
falah Miftah,4,puas
Nana pitax,5,good
taufik opiik,1,"KENAPA SALDO SAYA TERPOTONG TIBA TIBA UNTUK, PEMBAYARAN DANA CICIL, SEDANGKAN DANA CICIL SUDAH DI LUNASKAN ,DI MOHON TANGGUNG JAWAB DAN KEMBALI SALDO SAYA YANG TERPOTONG .."
Mura,5,paylater belum keluar
Nur Din,5,Saya Kasih Bintang 3 Kerna Saya Sudah Lama Penggunakan Aplikasi Dana. tetapi Saya Belum Dapat Dana Cicil Atau Dana Istan
Hermanto Hery,1,"saya hanya mencoba aplikasi gamenya.percobaan telah selesai,dan gamenya bagus buat untuk ngisi waktu santai."
Kahar Batubara,1,"aplikasi dana saya enggak lengkap padahal saya udah lama bertransaksi melalui dana.masa dana cicilnya enggak keluar keluar,beda dengan orang yang baru pakai dana,udah muncul fitur dana cicilnya.tlong perhatikan"
nur Yadi,5,kenapa saya mau daftar tuntunannya ga ada ya
Ayye Chanel,5,kak tolong percepat upgred ke dana premium nya
MADJID JIDDAM,5,ok
Sandi Sendol,3,bagus donlot nya cepat
Guntur Guntursyahputra,5,👍
Ragil,5,ok
Riki cahya,5,jos
Muhammad Zaylani,5,"bagus, hanya dana cicil saja yg belum ada di dana saya"
War Warsuki,5,mukamad warsuki i ndonesia
Isan Terore,5,bisa dipercaya apknya
Akmal Fuady,1,Aplikasi FORCE CLOSE MULU GARA2 DIPASANG IKLAN
Indra Mulyana,5,kok yg lain ada dana cicil sedangkan saya sudah lama pakai blm ada fitur dana cicil nya
Lingga Pratama,1,dana macam tak berguna
Nanda 08,5,bagus
Erik yudha,5,padahal udah dana peremium .. tapi dana cicil nya kok ngak bisa keluar y
Eko Pras,5,dana cicil nya gak keluar bos
Riska Amelia,5,bagus banget
Sopa Putra,5,bagus
Risna Bll2134,5,bagus
Hana Hanah,5,"bagusss , dana instan kapan saya di kasih ..."
Basir 01,1,"Lama dana gak jelas,bikin muak orang lagi buru""malah gak bisa di pakai,sampah"
Taji Sutaji,5,bagus
Rxking Rambe,5,kok tidak bisa minjam dana instan
Dery Iryanto,5,good
Somat,5,sangat membantu
Mak Rapi,5,sangat baik
Aswan Faisal,2,"top up e-money 50rb di transaksi dana berhasil masuk cuma pas di cek di e-money malah saldo masih kurang dari 50rb gimana si ini dana, padahal udah komplen tapi malah di cuekin"
Gu Dang,2,knp dana cicil saya tidak tersedia? kok bisa ya dana cicil saya tidak tersedia padahal disitu sudah jls limitnya 150 TPI gak bisa digunakan percuma
Muhammad muhammad,5,bagus
ARIL Putra,5,mohon berikan saya fitur dana cicil
Pk junaidi Junaidi,5,saya kesulitan mengambil duit dana ini banyak aturanya.
Agung Sutejasembiring,1,"tidak recommended utk penggunaan transaksi besar dan putaran saldo harian slow respon live chat Diana, dan sering saldo pengembalian lama proses 👎👎👎"
Dedi Firdaus,5,Dana mudah dan efektif
Ambie Pierro,5,belum ada fitur dana cicil di aplikasi
Heri Yanto,5,oke sangat bagus👍👍🙏
Jitu 11,4,tolong infonya kenapa setiap mau gunain dana cicil tidak bisa padahal limitnya masih ada . tertulis nya tidak berlaku
Sukai bin Setong,5,kasih danacicil dong min
Tomi Pororo,5,mantap sangat membantu
Hendrikus Haba,5,mantap
Owl,5,apk nya bagus praktis cuman kasi fitur keamanan tambahan dong biar akun bener² aman dari hack untuk semua nya bagus
Jun Albert Lase,1,fitur dana cicil tidak bisa di gunakan
sela deslika,1,karna mudah untuk membawa uang atau pun untuk menyimpan
Novaldo Figo,3,Tolong tambah kan tema gelap!
Kiss Kiss,5,Suka
Sapari Edi,4,kurang dana cicil
Muji,1,Matap banget nie
Sugi Arti,5,ok bgt
Sawal Udin189,3,"saya kasih bintang 3 karena,aplikasi dana sering gangguan saat mendownload,saya coba download dan uninstall pas mau download lagi tetep ngga bisa"
Fakih Riski,5,bagusdd
Hayabusa Xpayer,5,iya bagus
Iyar 12,5,bagus skli
Hasanudin Udin,5,sangat memuaskan
Dimas Mass,5,bagus
Erick Irawan,5,bagus
SRI MUSRIAH,5,menyenangkan semoga berkah
Muji Mulyani,5,keren
Adom,1,kenapa akun dana saya sering keluar dengan pemberitahuan dana terus berhenti
Deni Harianto,2,tolong lah ini kenapa dana cicil saya gak bisa di guna in ini fitur lain nya sih oke tapi kenapa dana cicilnya gak bisa????
Ashella Ashella,5,kenapa apk nya di buka keluar terus
pahril nazty,5,simpel dan keren
Lili Lulu,5,ok
beat andri,5,ingin Beta
Wariyanti,5,sangat bagus
Realme,5,baik
Mas Rinobaelah,5,knp ga bisa di gunakan dana cicilnya padahal udah lunas
Muhammad Asun,1,"koar"" nawarin dana cicil...ehh giliran didaftar malah ditolak...GK jelas. kasi bintang satu aja dulu"
Iwan Gunawan,1,"kok, GK ada fitur dana instan, sudah di updet"
Hamdan Daulay,5,saya ingin bermain dgn akun Arta 4d tapi ternyata susah untuk membukak saya jugak kurang mengerti dgn kata sandi yg mana
Uthariq Ahmad hirzi,5,sangat bagus dlm pelayanan
Narudin Tts,1,𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒋𝒂𝒅𝒊 𝒆𝒓𝒐𝒓
Ripan Ali,5,ok
Ghoniyul Muiz,1,apk gak jelas sudah dapat limit dana cicil.malah gak bisa digunakan
zalfa hanifah,5,mantap
Inad Amar,5,aplikasi sangat bagus
Saya BvB,1,ini ndak bisa-bisa aku daftar macam mana ini
Lee Amin23,2,gak ada dana cicil
Star 051,1,"wkwkk cukup tau dahh, Tiba-tiba transaksi qris tanpa pengetahuan sendri wkwk, dibuat laporan malah bertele-tele. cukup dah"
Sayangaku,5,bagus banget
Ara Raa,1,saldo ku hilang begitu saja tolong dong gimna nih
Sulaiman,5,Bagus
Mase Kuncen,5,sangat bagus
Sandy Herwansyah,1,uang saya sudah 1700000 hilang di aplikasih dana ini. sangat merugikan. dan sampai sekarang uangku hilang gk bisa di kembalikan oleh pihak dana. pelayananya sangat buruk. kita gk bisa mengadu di aplikasi dana. sangat buruk
Tiya Yumna,5,saya lebih menyukai dana
abi farizki,5,aplikasi terbaik
Yusuf Tien,1,kecewa pakai Dana..kecewa banget gak perlu di jelasin yang pasti sudah di kecewakan
Elis Rihati,1,Kenapa saya tidak bisa masuk ke apk dana
Yopy Heriani,3,sebenarnya admin utk top up berapa? kadang 500 kadang 1000?
Samuel Dinho,1,"apk bo*oh, setiap update makin gajelas makin lambat jelek banget ini apk"
M. Firdaus Daus,5,👍baik
Gaper Style,5,bagus sangat
Tatang,4,tidak bisa unduh/cetak qris bisnis
zanil zanil,5,sanggat membantu
Aman Gea,5,"mantap,tapi aku belum dapat menu Dana cicil"
Mhd Syafii,5,ok
25-Moh. Fuad Agil Mustofa,1,ini kenapa ya aku kok mau kirim uang sudah 2x tapi yang penerima tidak menerima status berhasil nama dan rekening sudah sama ini kenapa woy
Al Asyraf,5,👌
Iki Mr,1,dana cicil nya gabisa di aktivasi
Perancis Peran,5,jujur saya sangat salut sama apk dana ini soal nya jika terjadi masalah transaksi bisa langsung di tanyakan sama asisten Diana dan semua masalah pasti di selesaikan dengan cepat dan detail 👍 semoga apk dana ini bisa tambah berkembang dan tambah bagus.
Yuniarti 26,5,merantao
musik santuy,1,dana bisnis saldonya tidak bisa di tarik...klo mau bnyk yg pakai tolong di permudah pemakaian aplikasinya bukan di persulit merugikan pengguna
Bar Fahlevi28,5,aplikasi dana enak bisa kirim ke luar negeri dana semua bank
Farhan Di,5,mantap
Farhan Dmittri,1,lawak ini transaksi di persulit katanya batas habis padahal baru transaksi 8ribu
Helmi Budiansyah,2,"di update apk malah makin lemot, jelek. aneh"
macan kumbang banten,5,manatap bosku
Heri Lavendos,5,bagus
Unyil Ariska,1,apk melelah kan di buat tf nunggu verifikasi dulu
Mita Liasari,2,"kenapa saya gk bisa kirim uang, kata nya harus upgrade... udah di upgrade tpi tetap gk bisa.."
Redi Yansah,5,aplikasi yang sangat membantu dalam keseharian belanja bisnis dan lainnya
Pengguna Google,5,kren
Jasmen Saputra,5,ok banget
Infinix hot 10 play,5,tida ada dana cicil
M Bisri,4,good job
Skd Murdi,5,munculin dana cicilan plis
Saya Baru17,5,sangat mudah untuk penarikan
YT BANG PADEL,1,"tolonglah pihak dana kenapa pas beli transaksi masalah proses padahal token dah di beli, tolong kerja samanya"
Heru Rustandi,5,Mantap saya suka pake dana transaksi menjadi mudah
Fitri Amung,5,good
Dede Ahmad Arman,5,Tolong benerin lagi fitur dana cicilnya kenapa gak ada di akun apk dana saya
