user_name,score,content,clean_content,sentimen
Syema Gloria,1,"Tidak seperti bank, kalau melaporkan penipuan, akun penipu tidak diblokir dan uang juga tidak ada kemungkinan kembali. Sudah melapor dan dimintai semua bukti, tapi percuma, buang waktu dan umbar masalah pribadi doang. Pada akhirnya tetap dikatakan ngga ada penanggulangan yg sy harapkan. Sy mw uninstall aja keknya. Kecewa poll. 🙏",bank lapor tipu akun tipu blokir uang lapor bukti buang umbar pribadi doang ngga tanggulang sy harap sy mw uninstall aja kek kecewa poll,negatif
Lukmanul Hakim,1,"ko makin ke sini makin sering eror, buka dana sllu keluar manu trus, setelah di hapus, trus download lg baru bisa, repot kalo mau pake dana harus hapus, trus download lg",ko eror buka dana sllu manu trus hapus trus download lg repot kalo pake dana hapus trus download lg,netral
Suci Ramadhani,1,"apk nggak jelas, nggak tanggung jawab atas kehilangan saldo pengguna, cuma prihatin doang bego banget, udah berkali kali chat Diana tapi sama aja respon nya, saldo balik kaga capek iya",apk tanggung hilang saldo guna prihatin doang bego banget udah kali kali chat ana aja respon nya saldo kaga capek iya,netral
Sapu Sapu,1,akun dana saya udah 2 kali kena kendala ga tau kenapa saldo tiba tiba ilang gitu aja.. terus akun nya ga bisa di buka karena di proteksi,akun dana udah kali kena kendala tau saldo ilang gitu aja akun nya buka proteksi,netral
Tangguh Ibrahim,1,uangku hilang 150.000 woi,uang hilang woi,netral
Anjas Ramadhan,1,"saya itu membeli paket internet lewat aplikasi dana tapi paket internet saya tidak masuk, dana saya terpotong, kenapa pihak dana tidak ada kejelasan dalam masalah terpotong ini",beli paket internet aplikasi dana paket internet masuk dana potong dana jelas potong,netral
ahmad hoji,1,saya mau komplen ke dana kenapa verivikasi dana cicil saya gagal.sya penggun lama hampir 10thun sering bertrassaksi pakai dan a isi token listrik.pakettan pulsa qiriss,komplen dana verivikasi dana cicil gagal sya gun thun bertrassaksi pakai a isi token listrik pakettan pulsa qiriss,negatif
Azriel Wn haris,1,Saya transfer Lewat DANA ke BANK MANDIRI belum masuk saya di suruh nunggu 24 jam ternyata belum masuk juga aplikasi ini gak berguna sangat merugikan SANGAT TIDAK BERGUNA DAN MERUGIKAN😔😟,transfer dana bank mandiri masuk suruh nunggu jam masuk aplikasi guna rugi guna rugi,netral
rahmat mahmud,1,aplikasi suka log out sndri saat digunakan,aplikasi suka log out sndri,netral
Hiday Officiall,1,"kalau gak becus ngurus transferan mending dihapus aja itu fitur , transfer doang dipending disuruh nunggu pula nyesel gua narok duit di apk ini ditransfer kagak bisa dibalikin juga enggak duit se uprit aja ga becus ngurusnya tutup aja ni aplikasi gak becus",becus ngurus transfer mending hapus aja fitur transfer doang pending suruh nunggu sesal gua narok duit apk transfer kagak dibalikin duit uprit aja becus ngurusnya tutup aja ni aplikasi becus,netral
Dewi anjani,1,saya mau login aplikasi dana tanpa kode otp karna nomor sudah hilang,login aplikasi dana kode otp karna nomor hilang,netral
febrianti annisa putri,1,Menyesal!!! keamanannya gampang sekli di bobol! orng lain login akun ku dan menguras saldoku!!! pokoknya keamanannya kurang sekli!!,sesal aman gampang sekli bobol orng login akun ku uras saldo pokok aman sekli,positif
Muhtar Riezal,1,"jaringan bagus, tapi selalu gagal login dengan keterangan jaringan bermasalah",jaring bagus gagal login terang jaring masalah,netral
Muhammad Khairul,1,"Gak Jelas ,Makin Lemot ! Isi Token Listrik ,uangnya udh ke potong .. Notif Kode token nya malah gak ada sama sekali !",lot isi token listrik uang potong notif kode token nya,netral
Vanzz? 1,1,saya belum punya akun malah di suruh masukin pin pas pencet lupa pun disuruh verifikasi wajah udah tapi malah ga bisa katanya bukan pemilik akun gimana sih,akun suruh masukin pin pas pencet lupa suruh verifikasi wajah udah milik akun gimana sih,netral
Dede Deden,1,terlalu banyak kendala saat menggantikan nomor baru dan kirim uang mohon di perbaiki lagi dana ini yaaa agar tidak terlalu banyak eror,kendala ganti nomor kirim uang mohon baik dana yaaa eror,positif
Prasetia Sutioso,1,tolong lengkapin fitur livechat agar semua masalah cpt tertindak. assitent virtual yg anda sediakan tidak membantu sama sekali,tolong lengkapin fitur livechat cpt tindak assitent virtual sedia bantu,netral
Laila Kahanie,1,"makin lama makin busuk aplikasinya. isi pulsa gak bisa tulisannya ""sesi anda telah berakhir"", mau bayar-bayar gak bisa ada tulisannya "" ada kendala"". susah lah",busuk aplikasi isi pulsa tulis sesi bayar bayar tulis kendala susah,negatif
Nyai Iyam,1,nomer saya sudah tidak aktif hp di riset mau masuk akun dana ga bisa udah coba hubungi Diana sampe saat ini gada jalan keluar untuk maslah ini. makasih nya masih ada saldo di akun lama,nomer aktif hp riset masuk akun dana udah coba hubung ana sampe gada jalan mas makasih nya saldo akun,netral
Syahda Hadianta,1,aplikasi tidak aman saldo saya hilang,aplikasi aman saldo hilang,positif
Farhan Dmittri,1,lawak ini transaksi di persulit katanya batas habis padahal baru transaksi 8ribu,lawak transaksi sulit batas habis transaksi ribu,netral
Nazwa Melviana,1,"gamau pake dana lagi, udh bertahun' langganan pake dana tapi pas saya melakukan payment dan eror malah beberapa menit kemudian saldo saya berkurang padahal payment eror dan gagal. sumpah nyesel bgt pake dana, mending pake m-banking yg jelas bank nya daripada ini komplain jg ga di urus.",gamau pake dana tahun langgan pake dana pas payment eror menit saldo kurang payment eror gagal sumpah sesal banget pake dana mending pake m banking bank nya komplain jg urus,negatif
Fitri Ratna Sari,1,"aplikasi taik.. memaksa untuk upgrade ke premium, jika tdk. tidak bisa di gunakan",aplikasi taik paksa upgrade premium tdk,netral
Iskar Suhardi,1,penipu,tipu,negatif
Prita Sela,1,masa ada orang tf gada notifnya sih,orang tf gada notifnya sih,netral
Elis Fitriyani,1,dana cicil tidak bisa di gunakan. mendingan gausah,dana cicil mending gausah,netral
Iqbal Bob,1,"aplikasi terburuk, mau bayar dana org lewat mobile bank gak bisa harus buka dari aplikasi dana, harus buat akun premuim utk bisa kirim uang k dana lain, pas sdh upgrade masih jg gak bisa kirim, malu lama d kasir gak jadi belanja, SANGAT KESAL",aplikasi buruk bayar dana org mobile bank buka aplikasi dana akun premuim utk kirim uang k dana pas upgrade jg kirim malu d kasir belanja kesal,negatif
nfz 096,1,"upgrade ke premium lama, katanya nunggu 2 hari, giliran udah 3 hari udah g bisa upgrade gimana iniii????!!!",upgrade premium nunggu gilir udah udah g upgrade gimana iniii,netral
Sobur Obung,1,gak bisa dana cicil,dana cicil,netral
keke emilia,1,"saya mengirim sejumlah uang melaui dana, bukti transfer ada tapi uang TIDAK MASUK ke rekening tujuan. udah ajuin pelaporan, estimasi pengembalian dalam 3hari, tapi ini sudah 3 hari dan belum ada informasi lebih lanjut. Tolong penyelesaiannya, karna nominal yang saya transfer tidak sedikit. thanks.",kirim uang melaui dana bukti transfer uang masuk rekening tuju udah ajuin lapor estimasi kembali informasi tolong selesai karna nominal transfer thanks,netral
Qiissmiiss,1,aneh banget saya di samarinda tp ada trnsaksi qris di jakarta.. jadi akun saya kebobolan atau gimna dah.. ga aman bnget.. uang jdi hilng,aneh banget samarinda trnsaksi qris jakarta akun bobol gimna dah aman bnget uang jdi hilng,positif
Alvino Iqram,1,"akun tidak bisa masuk, ada telpon dari yang tidak di kenal untuk di minta topup..👎",akun masuk telpon kenal topup,netral
Yuli Yuli,1,sering eror,eror,netral
Restu Maulana,1,aplikasi gak bertanggung jawab,aplikasi tanggung,netral
yandi Ian,1,"selama saya mengunakan apk dana baru kali saya kehilangan saldo, padahal saya baru saja top up pas saya cek saldo ternyata tidak bertambah dan malahan kosong terus sebelum saya melakukan top up.dia dalam akun dana saya Masih mempunyai saldo yang cukup banyak .setelah dicek ternyata akun dana saya telah dibobol Tampa sepengetahuan saya dan kejadiannya pada hari ini.😔😔😔",mengunakan apk dana kali hilang saldo top up pas cek saldo tambah kosong top up akun dana saldo cek akun dana bobol tampa tahu jadi,positif
V.A.M 13,1,duek ku balek no,duek ku balek no,netral
kiki endshot,1,tolong dana saya 6 juta di kembalikan di mana etika bosnya ini 6 juta emng kecil buat kalian tapi 6 juta buat kamu itu banyak sekali setiap update aplikasi ini saya tetap bakal buat laporan sperti ini trimakasih laporan di cs ngga nyambung,tolong dana juta kembali etika bos juta emng juta update aplikasi lapor sperti trimakasih lapor cs ngga nyambung,netral
Preman Exp lane,1,"kecewa ke dana, gua beli kuota ga masuk masuk lagi dibutuhin kuota nya eh beli didana ga masuk masuk,.. sedangkan saldo gua kepotong",kecewa dana gua beli kuota masuk masuk dibutuhin kuota nya eh beli dana masuk masuk saldo gua potong,negatif
ellang sriwijaya,1,tidak bisa di premiumkan,premium,netral
Sofyan Hadi,1,DANA CICIL SUDAH DI BAYAR LUNAS TAPI TIDAK BISA DI PAKE LAGI SIALANNN,dana cicil bayar lunas pake sialannn,netral
Titus Kalepiga,1,saldo ku tiba tiba ngurang banyakkk,saldo ku ngurang banyakkk,netral
Rido Ilham,1,banyak kendala,kendala,netral
Ramdani kaizan,1,kenapa pengembalian dana dari lazada tak kunjung masuk saldo????? bicara sana CS muter muter,kembali dana lazada kunjung masuk saldo bicara cs muter muter,netral
mega putri,1,"dana perampok...uang ga bisa di apa""in..sudah pengaduan data data sudah di krim yang di perlukan malah tetap ga bisa di pake....perampok berkedok aplikasi...tololl",dana rampok uang in adu data data krim perlu pake rampok kedok aplikasi tololl,netral
angga ade saputra,1,Dana terpotong otomatis tanpa sepengetahuan saya,dana potong otomatis tahu,netral
DedeMaryati 3730,1,"saldo tidak bisa di tarik ,haru ke premium ,dan biaya admin terlalu mahal",saldo tarik haru premium biaya admin mahal,netral
user 404,1,hapus aja dana banyak judol lebih baik mencegah daripada mengobati bnyk yang menyalahgunakan,hapus aja dana judol cegah obat bnyk menyalahgunakan,netral
Ismadi Bayung Lencir,1,"APLIKASI SAMPAH,TANPA IJIN SALDO TERPOTONG 👎👎👎👎👎👎👎👎",aplikasi sampah ijin saldo potong,netral
vicky yasa,1,tidak ada fitur cicilan,fitur cicil,netral
Moh Faisal,1,apa si gajelas nge bug2 gajelas apk buruk banget,si gajelas nge bug gajelas apk buruk banget,negatif
arfan khan,1,"aplikasinya udah mulai burik, dikit dikit ngebak",aplikasi udah burik dikit dikit ngebak,netral
Joan dj,1,"apliakasi jelek amat,udah di posisikan wajah ke kamera. malah muncul notig waktu foto habis,gajelas amat",apliakasi jelek udah posisi wajah kamera muncul notig foto habis gajelas,negatif
Jeromi Polin,1,pemindahan akun gagal terus min,pindah akun gagal min,negatif
Arif Rahman,1,"ini pihak dana gimna sih, saya buat laporan mau me refund transaksi, bilang pengerjaan 3 hari ini sudah lebih dari 3 hari apa emng gada niat bantuin",dana gimna sih lapor me refund transaksi bilang kerja emng gada niat bantuin,negatif
Arini,1,"macet, trf uang butuh skrg malah ditunda sampe 5 hari kerja, bener bener kecewa",macet trf uang butuh skrg tunda sampe kerja kecewa,negatif
Korib Korib,1,"aplikasi banyak bug, udah jadi dana premium, masih aja gak bisa transfer, aneh banget",aplikasi bug udah dana premium aja transfer aneh banget,negatif
Bimo Aroyan,1,nmr belum terdaftar di aplikasi dana kok bisa tiba2 terdaftar di aplikasi dana,nmr daftar aplikasi dana daftar aplikasi dana,netral
Alexander Dedadrio,1,"kok bisa gituuu transaksi saya di tolak,, padahal saya tidak melakukan kesalahan-kesalahan apapun ataupun transaksi ilegal,,pin benar, jaringan kuat,no tujuan benar,, chat CS DIANA hanya membuang waktu,, masalah tidak teratasi,, chat dengan CS.DONI katanya transaksi terlalu banyak dalam waktu yang berdekatan,,, heiii ITU UANG SAYA APA UANG ANDAAA!!!!!!, katanya cs 1 limit transfer harian 50jt,, yg 1 lagi 20jt DULU padahal saya ga pernah seperti ini yaaa???",gituuu transaksi tolak salah salah apa transaksi ilegal pin jaring kuat no tuju chat cs ana buang atas chat cs doni transaksi dekat heiii uang uang andaaa cs limit transfer hari jt jt yaaa,netral
Akbar Gumilar,1,"transaksi gak prnah kurang dri 5jt prbulan dana ccil gak bisa d gunakan payah,php",transaksi prnah dri jt prbulan dana ccil d payah php,netral
Tarisa Yuniar,1,kecewa bangett sama apk dana skrng.tiba² hilang sendiri saldo padahal sy tidak melakukan transaksi TPI kebayar sendiri!!! padahal susah premium tolong dibenarkan lagi!!! krna banyak yang berfikir apk ini tipuan,kecewa bangett apk dana skrng hilang saldo sy transaksi tpi bayar susah premium tolong benar krna berfikir apk tipu,negatif
Rio azlani,1,saya baru saja dibobol aplikasi dana oleh pihak yang tidak bertanggungjawab. Kode OTP masuk ke wa saya..dia bisa login..kan aneh. habis uang saya di transfer ke PT. Bodong. Sangat memalukan aplikasi sebesar ini bisa kebobolan. artinya orang dalam yang punya kerjaan. gak mungkin bisa membobol OTP masuk,bobol aplikasi dana bertanggungjawab kode otp masuk wa login aneh habis uang transfer pt bodong malu aplikasi bobol orang kerja bobol otp masuk,netral
Diaz Mariachi,1,"data kita bisa tersebar,banyak penipuan uang sy kita bisa lenyap,gak bisa balik",data sebar tipu uang sy lenyap,negatif
Alvarendra Shaka14,1,jelek,jelek,negatif
Elis Rihati,1,Kenapa saya tidak bisa masuk ke apk dana,masuk apk dana,netral
Umaedi,1,"apk dana ini kaya gk ada yg ngembangkan malh robot yg di pake, uang saya hilang tapi tidak bisa kmbali cara tutup akunya gimna ini",apk dana kaya ngembangkan malh robot pake uang hilang kmbali tutup aku gimna,netral
Opin Jagjag,1,"setelah menggunakan apk dana kurang lebih 1 tahun, ternyata keamanannya kurang bagus juga karna baru aja saldoku kurang lebih 1jt tiba"" hangus",apk dana aman bagus karna aja saldo jt hangus,positif
Ary Triaseptiawan,1,banyak erornya ga relate,eror relate,netral
Juna Da,1,MOHON ...TOLONG DATA RIWAYAT TERANSAKSI ITU DI DANA SETIAP DETIK TRANSAKSI DI UPDATE...JNGAN PAKAI JAM..SEBELUM KAMI PINDAHH KE LINK AJA,mohon tolong data riwayat teransaksi dana detik transaksi update jngan pakai jam pindahh link aja,netral
Surji Bae,1,kenapa punya saya ngga bisa d buat premium padahal uda lengkap semua,ngga d premium uda lengkap,netral
Kucing Ganteng,1,sistem dana tolong dibenerin..bayangin aja..saya lagii urgent buat kirim uang ke keluarga dikampung yang lagi butuh cepet..tapi sistem aplikasi ini tidak membantu sama sekali..anda ingin melihat keluarga kami menderita?,sistem dana tolong dibenerin bayangin aja lagi urgent kirim uang keluarga kampung butuh cepet sistem aplikasi bantu keluarga derita,netral
Stokist Nyrtea Surabaya,1,kenapa nga bisa masuk ???,nga masuk,netral
titi Hayani,1,Tidak bisa membuka aktivitas,buka aktivitas,netral
Ganden Adela,1,puas,puas,positif
Trdani Dani,1,saya tidak tahu-menahu atas tindakan ini yg saya tau dana tidak adh konfirmasi kepada saya tau2 sudah di potong kalau tidak di kembalikan akan saya laporkan ke pihak berwajip,nahu tindak tau dana adh konfirmasi tau potong kembali lapor berwajip,netral
Gian Haura,1,"uang Gw tiba"" ilang bangke lah padahal gak di pake apa apa baru kali ini kecewa bet sama apk ini",uang gw ilang bangke pake kali kecewa bet apk,negatif
Rijal Fathoni,1,sudah sering bertransaksi tapi belum muncul juga fitur dana cicilnya,transaksi muncul fitur dana cicil,netral
Aldi Taher,1,aplikasi jelek dana gabisa dibuka uang saya nyempil di dana 500ribu tidak ada pertanggung jawaban penipu dasar aplikasi sialan suruh nunggu trus tapi gaada pertanggung jawaban saldo ga kembali,aplikasi jelek dana gabisa buka uang nyempil dana ribu tanggung tipu dasar aplikasi sial suruh nunggu trus gaada tanggung saldo,negatif
Nur Hayatii,1,"Uang dicuri orang , sudah buat pelaporan masih tidak di tindak lanjuti, jangan pernah pake apk ini sumpah sistem gampang di bobol",uang curi orang lapor tindak lanjut pake apk sumpah sistem gampang bobol,netral
Eteko San,1,ngelag,ngelag,netral
azka azkiyah,1,karna tidak bisa menjaga privasi akun saya di hack,karna jaga privasi akun hack,netral
Addityo,1,"gajelas lama lama, saya mulai ada dana cicil sudah 1 tahunan lebih limit tetap 100rb sampai sekarang. kemudian DANA INSTAN saya ada limit 300rb semua cicilan sudah saya byar mau memakai lagi kok tidak bisa sudah 1 bulan lebih gajelas bener.",gajelas dana cicil tahun limit rb dana instan limit rb cicil byar pakai gajelas,netral
Asep NurdinSyarief,1,harga pulsanya mahal amat semisal harga 25k jadi 27 k lebih . kok lebih mahal dari counter pulsa eceran bagaimana jual/transfer pulsa jke orang lain jadinya jika harga selisihnya kalo lebih mahal?,harga pulsa mahal harga k k mahal counter pulsa ecer jual transfer pulsa jke orang harga selisih kalo mahal,netral
Tukang Lapor,1,"Limit Saldo Dana Cicil, banyak. Aneh Masa gak bisa di Gunakan bayar pakai QRIS..",limit saldo dana cicil aneh bayar pakai qris,netral
Dimas Dayah,1,"kecewa sama dana, sdh lunasin dana cicil dibayar sebelum jatih tempo giliran mau di pake lagi malah gk bisa, padahal limit tersedia tapi gk bisa digunain percuma.",kecewa dana lunasin dana cicil bayar jatih tempo gilir pake limit sedia digunain,negatif
Anes Tami,1,"waspada, jangan taruh banyak banyak saldo di apk ini, CS nya pakai BOT, susah untuk tersambung dengan operator, harus via email dan harus menunggu di respon, tentunya masalah tidak cepat terselesaikan",waspada taruh saldo apk cs nya pakai bot susah sambung operator via email tunggu respon cepat selesai,netral
satrio pratama,1,"bener bener apk sampah, saat proses verifikasi daftar kota/kabupaten malah ga lengkap hadeuh",apk sampah proses verifikasi daftar kota kabupaten lengkap hadeuh,netral
Dedi Cahyono,1,"verifikasi dana cicil kolom ibu kandung sama email salah terus, yang punya ibu sama email siapa, sok sok an nyalahin",verifikasi dana cicil kolom kandung email salah email sok sok an nyalahin,netral
Immaculatte Im,1,aplikasiii jelekkkkkkk....ada fitur yg gak bisa di pakeee,aplikasiii jelekkkkkkk fitur pakeee,netral
Dika,1,makin lama makin ribet ni apk qieis aj ada ganguan kotol,ribet ni apk qieis aj ganguan kotol,negatif
heru nanda,1,eror apa ini eror mulu nih apk,eror eror mulu nih apk,netral
Fara Alifa,1,"dana ribet banget prosesnya, males. mana dah terlanjur saldo masuk ke dana hih",dana ribet banget proses males dah lanjur saldo masuk dana hih,negatif
Ical B7 12,1,setiap orang mau kirim uang ke dana sya selalu gagal,orang kirim uang dana sya gagal,negatif
Fhylia carmina,1,"sesi nya udh berakhir trus lupa pin udh buat lupa pin gak bisa pas tanya Diana bakal dirim pesan sampe sekarang pesannya gk ada . masalahnya ada saldonya didalam tolong diperbaiki. jangan di PHP in kami butuh uangnya yang ada dalam nya itu aja .susah banget akun di kunci sementara lah ,susah banget pake dana aja",sesi nya trus lupa pin lupa pin pas ana rim pesan sampe pesan saldo dalam tolong baik php in butuh uang nya aja susah banget akun kunci susah banget pake dana aja,negatif
Rama Dedek,1,"mau transfer gk bisa pdahan udah di apgret, gk guna apk sampah",transfer pdahan udah apgret apk sampah,netral
nopallgntng_3,1,"aplikasi emoney yang mudah di hack oleh hacker, saya korban nya.",aplikasi emoney mudah hack hacker korban nya,netral
Devin,1,aplikasi force close saat mau login,aplikasi force close login,netral
Nek Una,1,"jangan otomatis dibayarlah, kalo udah dikonfirmasi sama owner baru lah selesai pembayaran, pecat aja semua karyawan dana gak becus kerjanya",otomatis bayar kalo udah konfirmasi owner selesai bayar pecat aja karyawan dana becus kerja,netral
Kris Wanjaya,1,apk nya gak jelas saya isi dana tapi di konter Uda masuk tapi di akun dana aku belom masuk top up 200k itu gak masuk nyampek sekarang gak jelas apk itu redup aja lu,apk nya isi dana konter uda masuk akun dana bom masuk top up k masuk nyampek apk redup aja lu,positif
Andi Ruditt,1,biar aku pakai dana sja,biar pakai dana sja,netral
tesis skripsi,1,"uang terpotong otomatis, padahal tidak pernah pakai aplikasi yang di beli",uang potong otomatis pakai aplikasi beli,netral
Adira Fahrul,1,"saya di rugikan oleh pihak dana,saya sangat butuh penjelasan oleh pihak dana,kenapa saldo saya tidak bisa di kembalikan,hal ini bukan sekali malah 2 kali seperti ini pihak dana merugikan saya",rugi dana butuh jelas dana saldo kembali kali dana rugi,netral
putri purnama dewi,1,kenapa ya saldo dana cicil saya gak bisa di pakai.tolong bantuan nya dan perbaikin dana cicil saya. saya ingin gunakan nyaa,ya saldo dana cicil pakai tolong bantu nya perbaikin dana cicil nyaa,netral
Yizreel inkai Inkai,1,"ini aplikasi tertololllll, aplikasi terbayar otomatis padahal kita udah hentikan pembayarannya sangat jelek, tidak rekomendasi pake aplikasi jelek ini",aplikasi tertololllll aplikasi bayar otomatis udah henti bayar jelek rekomendasi pake aplikasi jelek,negatif
Cahahay Viktory,1,"transaksi sudah banyak, dan lebih dari 30 juta per bulan, tapi dana cicil engga di berikan akses. makin hari makin parah",transaksi juta dana cicil engga akses parah,negatif
Khaila Nisa,1,"udah 3 hari mau coba hapus akun dana tetep gagal di suruh ulang mulu terus di suruh coba besok nya lagi tolong dongg gua cuma mau hapus akun kenapa di persulit banget, sistem nya di perbaiki minimal lah",udah coba hapus akun dana tetep gagal suruh ulang mulu suruh coba besok nya tolong dongg gua hapus akun sulit banget sistem nya baik minimal,netral
Alwan Sogiri,1,akun saya ko g bisa kebuka,akun ko g buka,netral
Iqbal Ahmad,1,"mungkin untuk sebagian orang aplikasi ini bagus, menurut saya juga bagus waktu belum kejadian seperti ini. saya tidak merasa melakukan transaksi apapun, tanggal 24 April 2026 jam 21.00 lebih saya mengisi saldo 450.000, Dini hari sekitar jam 00.00 lebih baru saya buka, tapi tau-tau Saldo saya hilang, setelah saya lihat Aktifitas, ternyata ada transaksi pengisian pulsa yg ber turut2 dengan nomer yg sama.. saya chat ke Diana tapi jawabannya sangat2 tidak memuaskan, hanya pertanyaan & pertanyaan..",orang aplikasi bagus bagus jadi transaksi apa tanggal april jam isi saldo jam buka tau tau saldo hilang lihat aktifitas transaksi isi pulsa ber nomer chat ana jawab muas,positif
aditya perdana,1,"aplikasi sampah, dikit dikit kena potong waktu top up saldo",aplikasi sampah dikit dikit kena potong top up saldo,positif
yuslan yuslan,1,saya tidak bisa login di akun saya,login akun,netral
husen ganteng,1,"pelitt,udah make selama 4 tahun gak di bolehin aktifin dana cicil,gk recommend buat kalian",pelitt udah make bolehin aktifin dana cicil recommend,netral
Habib Ajah,1,tidak ada bonus2/THR uninstal aj,bonus thr uninstal aj,netral
Ano Pano,1,"Bot nya tidak ada perubahan Orang tanya apa jawabnya apa di perbaiki lah, untuk castemer service nya orang castemer service nya kaga mampu apa",bot nya ubah orang baik castemer service nya orang castemer service nya kaga,positif
Salsabilla Azzahra Ramadhanty,1,saya tidak bisa login ke akun saya sendiri!,login akun,netral
Reza Hambali,1,aplikasi ga jelas proses kerja sangat lama dan rawan. costumer service ga jelas solusinya. yang mau pakai apk ini pikir 10000000000x sebelum kalian nyesal!!!!!!!!!!,aplikasi proses kerja rawan costumer service solusi pakai apk pikir x nyesal,netral
Clara Clara Yuniarti,1,susah mau tutup rekening,susah tutup rekening,negatif
Bobo Cello,1,aplikasi tidak layak pakai semua transaksi sering terkendala,aplikasi layak pakai transaksi kendala,netral
Mustafa,1,saya menarik kembali karena fitur dana cicil nya ngk bisa muncul di akun dana aku,tarik fitur dana cicil nya ngk muncul akun dana,netral
Mertin Meti,1,uang,uang,netral
armand wahyu,1,sekarang ada potongan 1500,potong,netral
Bryan Tampubolon,1,"Qrisnya sering bermasalah,tanggapan cs selalu template Minimal kalo lagi ga bisa diberitahu pler",qrisnya masalah tanggap cs template minimal kalo diberitahu pler,netral
Iqbal 123,1,banyak kali kendali,kali kendali,netral
Mi Mil,1,"gampang di hack orang, hilang terus saldo DANA saya ,belum 1 malam udah hilang aja tuh saldo DANA saya, Dulu paling suka pake apk DANA ini sekarang gak mau lagi, Banyak rugi nya, Hapus aja apk DANA ini merugi kan banyak orang",gampang hack orang hilang saldo dana malam udah hilang aja tuh saldo dana suka pake apk dana rugi nya hapus aja apk dana rugi orang,netral
Badass fight scene,1,bobrok semua semua eror,bobrok eror,netral
Kontol Anjing,1,"saya top up saldo dari ke dana kirim ke gopay dan tiba tiba proses lama dan, pending lama udh di ajukan ke cs nya tapi gk ada aksi kecewa sih",top up saldo dana kirim gopay proses pending aju cs nya aksi kecewa sih,netral
Muhammad Syahputra,1,aplikasi ini tolol saya ke ilangan uang saya tanpa izin pin nya tiba-tiba terbayar sendiri aplikasi ini gak bagus,aplikasi tolol ilangan uang izin pin nya bayar aplikasi bagus,positif
Rendy Saputra,1,gak bisa dana cicil GK kaya orang lain bisa,dana cicil kaya orang,netral
ZENAL SUNDA,1,🤮,,netral
fazyhaa stur,1,kok gak ada dana cicilnya,dana cicil,netral
tandy karnanda,1,di update malah hilang pilihan pindai ny,update hilang pilih pindai ny,netral
Pratama Yudha,1,"parah sih apk dana nie buat laporan udh berhari-hari nunggu belum di proses"" juga",parah sih apk dana nie lapor hari nunggu proses,negatif
Masdar Malino3,1,masa saya gk pernah pinjam ko bisa ada tagihan saldo d dlmnya langsung terkirim sendiri gk aman ini aplikasi dana skrg,pinjam ko tagih saldo d dlmnya langsung kirim aman aplikasi dana skrg,positif
Vicky Adhitya,1,"saya tidak bisa login dengan PIN saya, tolong pihak dana di perbaiki lagi",login pin tolong dana baik,positif
Fikri Maulana Iqbal,1,taikk saldo kepotong payment gajelas tanpa konfirmasi,taikk saldo potong payment gajelas konfirmasi,netral
